ID;PudoPagar;Estudiante;Ingresos;Cuenta
-1;0;No;3196574;358943
-1;0;No;4944040;3857756
1;0;No;4436163;3647632
2;0;Si;1210613;4085902
3;0;No;3176714;5367746
4;0;No;3570449;2646253
5;0;No;3846350;3928279
6;0;Si;749156;4597943
7;0;No;2490523;4127567
8;0;Si;1760045;4043338
9;0;No;3746853;5805289
10;0;No;2927527;0
11;0;Si;2187107;0
12;0;Si;1326856;6102919
13;0;No;2825170;1185226
14;0;No;4499456;3033712
15;0;No;2381017;5564842
16;0;No;4504241;1431163
17;0;No;5026531;0
18;0;Si;1763654;2637701
19;0;No;6156611;2429684
20;0;No;2646463;5475364
21;0;No;5050018;1144763
22;0;No;3245751;4771309
23;0;No;5131788;5279783
24;0;No;3046610;3209922
25;0;No;3435331;3866059
26;0;No;2521133;4275043
27;0;No;4147351;3214999
28;0;No;3218909;7274316
29;0;No;3937639;3078521
30;0;Si;1655607;5597847
31;0;No;5438478;2474081
32;0;Si;1579947;2244403
33;0;Si;2242994;2924524
34;0;No;4690723;4567936
35;0;Si;2263449;7119695
36;0;Si;1319065;7498623
37;0;No;4780661;3460171
38;0;No;3508749;1757267
39;0;No;3786482;3713138
40;0;No;3948959;3265592
41;0;No;4178757;4360693
42;0;No;5147177;4186313
43;0;No;4291747;5758153
44;0;Si;1687295;1102778
45;0;Si;1905257;8451172
46;0;No;5420694;2043865
47;0;No;5006668;6193052
48;0;No;3740850;6141542
49;0;No;4774654;4104596
50;0;No;3168835;4287426
51;0;No;4264125;2818091
52;0;Si;1312064;6414863
53;0;Si;2655714;7528913
54;0;Si;1688230;4520201
55;0;No;4995658;0
56;0;Si;1046432;6472487
57;0;Si;1588747;6377753
58;0;No;4876691;7682973
59;0;No;3914314;6662613
60;0;No;3337909;2460399
61;0;No;4647829;3831172
62;0;No;6343298;3450636
63;0;No;3248154;0
64;0;No;3686616;7403277
65;0;No;4534425;4945278
66;0;No;3369543;6511709
67;0;No;5469677;5222762
68;0;No;4365823;0
69;0;No;3836342;4330142
70;0;No;4814047;3454004
71;0;No;3157762;2988786
72;0;No;5131122;2147427
73;0;No;3964494;6990781
74;0;Si;1988649;7890320
75;0;No;2665569;4285345
76;0;Si;1621128;3762300
77;0;Si;1519373;3873692
78;0;No;4513172;3641866
79;0;No;2839209;384956
80;0;No;4134679;982285
81;0;Si;1429762;4743740
82;0;No;3936988;2159604
83;0;No;4622121;2308191
84;0;No;3304631;2860079
85;0;No;5125844;1677841
86;0;No;6039772;2551188
87;0;Si;2403865;5025807
88;0;Si;1324175;812272
89;0;No;5053747;4662666
90;0;Si;1190568;4466652
91;0;No;4449516;6663913
92;0;No;3504311;7021915
93;0;Si;1657819;5744826
94;0;No;5759683;1841117
95;0;No;4595067;2247333
96;0;No;5158466;4100086
97;0;Si;1575062;3098759
98;0;No;4641697;5238591
99;0;No;4719389;1219207
100;0;No;4543055;932502
101;0;No;3822403;7110092
102;0;No;6142529;1918993
103;0;No;4580210;5797175
104;0;No;1718174;4414960
105;0;No;6545785;7316164
106;0;Si;1931142;8611779
107;0;Si;1455891;3869609
108;0;No;3281628;4790847
109;0;No;6803758;6037664
110;0;No;3054660;5283054
111;0;No;4655027;588212
112;0;No;5808836;2984821
113;0;No;4772963;0
114;0;Si;1633570;2708314
115;0;No;4502002;5595892
116;0;Si;2049867;4051605
117;0;No;3285012;1357757
118;0;No;4771402;5572016
119;0;No;3354098;4335154
120;0;Si;1763271;5883947
121;0;No;4246536;3051139
122;0;No;5544934;1363078
123;0;No;4964343;2248675
124;0;Si;1067353;4138836
125;0;No;3392522;2150000
126;0;No;3182576;0
127;0;Si;1840459;7786723
128;0;No;3372216;4641185
129;0;No;4910180;6867251
130;0;Si;1860153;4755365
131;0;Si;2306585;6461054
132;0;No;2476080;2910944
133;0;Si;1930798;1697123
134;0;No;4464109;2049912
135;0;No;5363985;6082258
136;0;No;4412427;2992307
137;1;Si;1785440;7434991
138;0;No;5997684;4718982
139;0;No;4952575;0
140;0;Si;2088324;4981380
141;0;Si;1124867;3741507
142;0;No;1541152;1623690
143;0;Si;1600568;2876911
144;0;No;3601224;2208691
145;0;No;3952656;5943211
146;0;No;5137120;475738
147;0;No;4321879;5078074
148;0;No;4493167;6292837
