ESTADO,MESES,INGRESOS,CASA,PRECIO_DISPOSITIVO,PROMEDIO_DURACION_LLAMADA,SATISFACCION,SOBRECARGO,SALDO_RESTANTE,COMPARTIR,LON,LAT
VINCULADO,26,4074840,883000000,1444153,2.3,3.762871911,11.16754203,20.3,NO,0,0
VINCULADO,23,8574088,1745000000,2157661,3.7,5.361266432,0,53.5,NO,0,0
RETIRADO,38,795993,95000000,452809,16.8,6.859437624,350.6102238,13.9,NO,0,0
RETIRADO,37,8115015,83000000,2617184,17.6,7.464016897,230.9138878,45.7,NO,0,0
RETIRADO,19,8187499,677000000,666069,0,7.308206423,131.5419831,67.2,NO,0,0
VINCULADO,19,7250225,424000000,548116,2.2,3.979549273,0,72,NO,0,0
RETIRADO,20,7256758,712000000,3493707,14.8,6.785136944,217.3225543,69.5,NO,0,0
RETIRADO,32,3262245,684000000,985708,1.3,6.540629438,275.5951313,19,NO,0,0
VINCULADO,41,7281977,1770000000,2453442,3,4.654332317,0,64.6,NO,0,0
RETIRADO,19,874177,725000000,1403586,17.8,4.138861415,0,19.9,NO,0,0
RETIRADO,9,4061667,934000000,438256,1.8,4.164890042,0,4.9,NO,0,0
RETIRADO,18,3529836,724000000,647659,4.3,6.484475314,303.1620946,29.6,NO,0,0
RETIRADO,40,3829846,877000000,1150132,5.4,6.355743589,150.8684079,33.2,SI,-74.12555164,4.696871759
RETIRADO,27,7639749,317000000,825889,0.7,6.326983849,178.2471858,89.5,NO,0,0
VINCULADO,12,1063556,714000000,1991877,15.7,4.654776582,0,0,NO,0,0
RETIRADO,0,661848,145000000,1241824,14.7,6.721092246,311.5902034,23.7,NO,0,0
RETIRADO,26,1494939,574000000,665683,16,7.146059967,132.838471,18,NO,0,0
RETIRADO,17,6461843,240000000,323295,16.3,6.715940824,202.1665867,78.8,NO,0,0
RETIRADO,32,901956,933000000,1280582,16,6.11730498,223.7509717,20.3,NO,0,0
VINCULADO,24,7237045,1674000000,2288612,15.8,4.96468979,28.77359007,76.9,NO,0,0
VINCULADO,30,8346763,450000000,705708,16.3,4.841407392,0,61.7,NO,0,0
RETIRADO,49,7597008,400000000,2392791,15.8,6.420290063,130.6549471,47.6,NO,0,0
